col_names,
id,
action_taken,"Descriptions:
1. Loan originated
3. Application denied"
activity_year,
legal_entity_identifier,
loan_type,"1. Conventional (not insured or guaranteed by FHA VA RHS or FSA)
2. Federal Housing Administration insured (FHA)
3. Veterans Affairs guaranteed (VA)
4. USDA Rural Housing Service or the Farm Service Agency guaranteed (RHS or FSA)"
loan_purpose,"Descriptions:
1. Home purchase
2. Home improvement
31. Refinancing
32. Cash-out refinancing
4. Other purpose
5. Not applicable"
preapproval,"Descriptions:
1. Preapproval requested
2. Preapproval not requested"
construction_method,"Descriptions:
1. Site-built
2. Manufactured Home"
occupancy_type,"Descriptions:
1. Principal residence
2. Second residence
3. Investment property"
loan_amount,Disclose the midpoint for the $10000 interval into which the reported value falls (e.g. for a reported value of $117834 disclose $115000 as the midpoint between values = $110000 and < $120000)
state,
ethnicity_applicant_1,"Descriptions:
1.Hispanic or Latino
11. Mexican
12. Puerto Rican
13. Cuban
14. Other Hispanic or Latino
2. Not Hispanic or Latino
3. Information not provided by applicant in mail internet or telephone application
4. Not applicable. If the Applicant or Borrower did not select any ethnicity(ies) and only provided ethnicity(ies) in the Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino, this data field may be left blank."
ethnicity_applicant_2,
ethnicity_applicant_3,
ethnicity_applicant_4,
ethnicity_applicant_5,
ethnicity_co_applicant_1,
ethnicity_co_applicant_2,
ethnicity_co_applicant_3,
ethnicity_co_applicant_4,
ethnicity_co_applicant_5,
ethnicity_applicant_collected,"Descriptions:
1. Collected on the basis of visual observation or surname
2. Not collected on the basis of visual observation or surname
3. Not applicable"
ethnicity_co_applicant_collected,"Descriptions:
1.Collected on the basis of visual observation or surname
2. Not collected on the basis of visual observation or surname
3. Not applicable
4. No co-applicant"
race_applicant_1,"Descriptions:
1. American Indian or Alaska Native
2. Asian
21. Asian Indian
22. Chinese
23. Filipino
24. Japanese
25. Korean
26. Vietnamese
27. Other Asian
3. Black or African American
4. Native Hawaiian or Other Pacific Islander
41. Native Hawaiian
42. Guamanian or Chamorro
43. Samoan
44. Other Pacific Islander
5. White
6. Information not provided by applicant in mail internet or telephone application
7. Not applicable. If the Applicant or Borrower did not select any race(s) and only provided race(s) in the Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe, Race of Applicant or Borrower: Free Form Text Field for Other Asian, and/or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander, either leave this data field blank or enter, as appropriate, Code 1, 27, or 44."
race_applicant_2,
race_applicant_3,
race_applicant_4,
race_applicant_5,
race_co_applicant_1,
race_co_applicant_2,
race_co_applicant_3,
race_co_applicant_4,
race_co_applicant_5,
race_applicant_collected,"Descriptions:
1. Collected on the basis of visual observation or surname
2. Not collected on the basis of visual observation or surname
3. Not applicable"
race_co_applicant_collected,"Descriptions:
1.Collected on the basis of visual observation or surname
2. Not collected on the basis of visual observation or surname
3. Not applicable
4. No co-applicant"
sex_applicant,"Descriptions:
1. Male
2. Female
3. Information not provided by applicant in mail internet or telephone application
4. Not applicable
6. Applicant selected both male and female"
sex_co_applicant,"Descriptions:
1. Male
2. Female
3. Information not provided by applicant in mail internet or telephone application
4. Not applicable
5. No co-applicant
6. Co-applicant selected both male and female"
